Abathur;Z;1;Deep Tunnel;res/spell/abathur/deep-tunnel.png;Quickly tunnel to a visible location.;0;30
Abathur;Trait;1;Locust Strain;res/spell/abathur/locust-strain.png;Spawns a Locust to attack down the nearest lane every 15 seconds. Locusts last for 25 seconds, have 299.52 (+4% per level) health and deal 35.36 (+4% per level) damage with each Basic Attack.;0;15
Abathur;Q;1;Symbiote;res/spell/abathur/symbiote.png;Assist another allied Unit or Combat Structure, allowing Abathur to shield them and use new Abilities. Cannot be used on another Hero's Summons.;0;4
Abathur;W;1;Toxic Nest;res/spell/abathur/toxic-nest.png;Spawn a mine that becomes active after a short time. Deals 159.12 (+4% per level) damage and reveals the enemy for 4 seconds. Lasts 90 seconds. Stores up to 3 charges.;0;10
Abathur;Q;2;Stab;res/spell/abathur/stab.png;Shoots a spike towards target area that deals 123.76 (+4% per level) damage to the first enemy it contacts.;0;3
Abathur;W;2;Spike Burst;res/spell/abathur/spike-burst.png;Deals 120.64 (+4% per level) damage to nearby enemies;0;6
Abathur;E;2;Carapace;res/spell/abathur/carapace.png;Shields the assisted ally for 163.28(+4% per level). Lasts for 8 seconds.;0;12
Abathur;R1;1;Ultimate Evolution;res/spell/abathur/ultimate-evolution.png;Clone target allied Hero and control it for 20 seconds. Abathur has perfected the clone, granting it 20% Spell Power, 20% bonus Attack Damage, and 10% bonus Movement Speed. Cannot use their Heroic Ability.;0;50
Abathur;R2;1;Evolve Monstrosity;res/spell/abathur/evolve-monstrosity.png;Turn an allied Minion or Locust into a Monstrosity. When enemy Minions near the Monstrosity die, it gains 5% Health and 5% Basic Attack damage, stacking up to 40 times. The Monstrosity takes 0% less damage from non-Heroic enemies. Using Symbiote on the Monstrosity allows Abathur to control it, in addition to Symbiote's normal benefits. This Ability can be reactivated to automatically cast Symbiote on his Monstrosity.;0;90
Alarak;Trait;1;Sadism;res/spell/alarak/sadism.png;Alarak deals 100% more Ability damage versus enemy Heroes.;0;0
Alarak;Q;1;Discord Strike;res/spell/alarak/discord-strike.png;After a 0.5 second delay, enemies in front of Alarak take 182 (+4% per level) damage and are silenced for 1.5 seconds.;55;8
Alarak;W;1;Telekinesis;res/spell/alarak/telekinesis.png;Create a force, pushing Alarak and all enemies hit from the targeted point towards the targeted direction. Deals 49.92 (+4% per level) damage to enemies.;30;12
Alarak;E;1;Lightning Surge;res/spell/alarak/lightning-surge.png;Deal 104 (+4% per level) damage to an enemy and all enemies between Alarak and his victim. 75% of the damage dealt to enemy Heroes is returned as health.;30;6
Alarak;R1;1;Deadly Charge;res/spell/alarak/deadly-charge.png;After channeling, Alarak charges forward dealing 208 (+4% per level) damage to all enemies in his path. Distance is increased based on the amount of time channeled, up to 1.625 seconds. Issuing a Move order while this is channeling will cancel it at no cost. Taking damage will interrupt the channeling.;45;60
Alarak;R2;1;Counter-Strike;res/spell/alarak/counter-strike.png;Alarak targets an area and channels for 1 second, becoming Protected and Unstoppable. After, if he took damage from an enemy Hero, he sends a shockwave that deals 286 (+4% per level) damage.;50;30
Anub'arak;Trait;1;Scarab Host;res/spell/anubarak/scarab-host.png;Using a Basic Ability spawns a Beetle which lasts for 8 seconds, attacking nearby enemies for 20.8 (+4% per level) damage.;0;8
Anub'arak;Q;1;Impale;res/spell/anubarak/impale.png;Deals 104 (+4% per level) damage. Stuns for 1 second.;65;12
Anub'arak;W;1;Harden Carapace;res/spell/anubarak/harden-carapace.png;Gain a Shield that absorbs 327.6 (+4% per level) damage over 3 seconds.;30;7
Anub'arak;E;1;Burrow Charge;res/spell/anubarak/burrow-charge.png;Burrow to the target location, dealing 99.84 (+4% per level) damage and briefly stunning enemies in a small area upon surfacing, slowing them by 25% for 2.5 seconds. Burrow Charge can be reactivated to surface early.;30;7
Anub'arak;R1;1;Cocoon;res/spell/anubarak/cocoon.png;Wraps target enemy Hero in a cocoon, rendering them unable to act or be targeted for 8 seconds. Allies of the Hero can attack the cocoon to break it and free them early.;70;60
Anub'anub;R2;1;Locust Swarm;res/spell/anubarak/locust-swarm.png;Deal 62.4 (+4% per level) damage per second to nearby enemies. Each enemy damaged restores 17.68 (+4% per level) Health. Lasts 8 seconds.;75;100
Artanis;Trait;1;Shield Overload;res/spell/artanis/shield-overload.png;After taking damage while below 75% Health grants Artanis a 390 (+4% per level) point Shield for 5 seconds. Basic Attacks lower the cooldown of Shield Overload by 4 seconds.;0;24
Artanis;Q;1;Blade Dash;res/spell/artanis/blade-dash.png;Dash forward and deal 59.28 (+4% per level) damage to enemies, then return and deal 177.84 (+4% per level) damage. Every enemy hit reduces the cooldown on Shield Overload by 1 second, and Heroes by 2 seconds.;65;10
Artanis;W;1;Twin Blades;res/spell/artanis/twin-blades.png;Artanis's next Basic Attack immediately causes him to charge a short distance and strike the enemy 2 times.;25;4
